Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType
Ar,Argon,18,FALSE,#80D1E3,1.06,1.88,0,39.948,0,,18,3,2,17,noble_gas
K,Potassium,19,FALSE,#8F40D4,2.03,2.75,0,39.0983,1,,1,4,3,0,alkali_metal
Ca,Calcium,20,FALSE,#3DFF00,1.76,0,0,40.078,2,,2,4,3,1,alkaline_earth_metal
Sc,Scandium,21,FALSE,#E6E6E6,1.7,0,0,44.95591,3,,3,4,3,2,transition_metal
Ti,Titanium,22,FALSE,#BFC2C7,1.6,0,1,47.88,2|3|4,,4,4,3,3,transition_metal
V,Vanadium,23,FALSE,#A6A6AB,1.53,0,1,50.9415,2|3|4|5,,5,4,3,4,transition_metal
Cr,Chromium,24,FALSE,#8A99C7,1.39,0,2,51.9961,2|3|6,,6,4,3,5,transition_metal
Mn,Manganese,25,FALSE,#9C7AC7,1.39,0,3,54.93805,1|2|3|4|6|7,,7,4,3,6,transition_metal
Fe,Iron,26,FALSE,#E06633,1.32,0,2,55.847,2|3|4|6,,8,4,3,7,transition_metal
Co,Cobalt,27,FALSE,#F090A0,1.26,0,1,58.9332,2|3,,9,4,3,8,transition_metal
Ni,Nickel,28,FALSE,#50D050,1.24,1.63,1,58.6934,0|1|2|3,,10,4,3,9,transition_metal
Cu,Copper,29,FALSE,#C88033,1.32,1.4,0,63.546,1|2,,11,4,3,10,transition_metal
Zn,Zinc,30,FALSE,#7D80B0,1.22,1.39,0,65.39,2,,12,4,3,11,transition_metal
Ga,Gallium,31,FALSE,#C28F8F,1.22,1.87,0,69.723,2|3,,13,4,3,12,other_metal
Ge,Germanium,32,FALSE,#668F8F,1.2,0,4,72.61,2|4,,14,4,3,13,metalloid
As,Arsenic,33,TRUE,#BD80E3,1.19,1.85,3,74.92159,-3|0|3|5,,15,4,3,14,metalloid
Se,Selenium,34,TRUE,#FFA100,1.2,1.9,2,78.96,-2|4|6,,16,4,3,15,non_metal
Br,Bromine,35,TRUE,#A62929,1.2,1.85,1,79.904,1|3|5|7,,17,4,3,16,halogen
Kr,Krypton,36,FALSE,#5CB8D1,1.16,2.02,0,83.8,0,,18,4,3,17,noble_gas
Rb,Rubidium,37,FALSE,#702EB0,2.2,0,0,85.4678,1|2|3|4,,1,5,4,0,alkali_metal
Sr,Strontium,38,FALSE,#00FF00,1.95,0,0,87.62,2,,2,5,4,1,alkaline_earth_metal
